data_year,offense,state_abbr,cleared,actual
2015,all,NM,16296,85066
2015,all,NY,1847,8224
2015,all,NC,1970,6401
2015,all,ND,4,90
2015,all,OH,27,462
2015,all,OK,115,963
2015,all,OR,168,842
2015,all,MD,2070,3792
2015,all,MA,1221,2565
2015,all,MI,15,282
2015,all,MN,631,2786
2015,all,MS,594,2004
2015,all,MO,175,1098
2015,all,PA,224,248
2015,all,RI,121,761
2015,all,SC,201,1106
2015,all,SD,29,87
2015,all,TN,775,2061
2015,all,TX,397,910
2015,all,UT,37,643
2015,all,VT,26,74
2015,all,VA,215,1009
2015,all,WA,272,1275
2015,all,WV,38,81
2015,all,WI,223,904
2015,all,WY,365,1243
2016,all,AL,1041,13063
2016,all,AK,9223,46051
2016,all,AZ,274,448
2016,all,AR,10,280
2016,all,CA,1642,9951
2016,all,CO,8179,33138
2016,all,CT,159,987
2016,all,DE,2056,4666
2016,all,FL,4711,16562
2016,all,GA,355,1332
2016,all,HI,10064,75846
2016,all,ID,3332,13297
2016,all,IL,0,392
2016,all,IN,0,31
2016,all,IA,32,180
2016,all,KS,22,120
2016,all,KY,22,82
2016,all,LA,532,2997
2016,all,ME,852,1811
2016,all,MT,51,111
2016,all,NE,440,2196
2016,all,NV,529,922
2016,all,NH,0,2
2016,all,NJ,152,500
2016,all,NM,15542,96545
2016,all,NY,2042,8944
2016,all,NC,1884,6132
2016,all,ND,38,131
2016,all,OH,14,347
2016,all,OK,145,1065
2016,all,OR,142,856
2016,all,MD,1903,3506
2016,all,MA,791,1808
2016,all,MI,24,222
2016,all,MN,506,2752
2016,all,MS,268,1646
2016,all,MO,140,1475
2016,all,PA,267,273
2016,all,RI,98,572
2016,all,SC,183,1127
2016,all,SD,18,48
2016,all,TN,853,2369
2016,all,TX,290,764
2016,all,UT,39,729
2016,all,VT,12,41
2016,all,VA,249,990
2016,all,WA,220,944
2016,all,WV,76,182
2016,all,WI,281,987
2016,all,WY,185,976
